"antibiotics exclusion","location","condition","Group 0 sample size","Group 1 sample size","Group 0 name","Group 1 name","Group 1 definition","host species","body_site","sequencing type","16S variable region (lower bound)","16S variable region (upper bound)","sequencing platform","statistical test","LDA Score >","significance threshold","MHT correction","matched on","confounders controlled for","Pielou","Shannon","Chao1","Simpson","Inverse Simpson","Richness","Study","Page Name"
"","China","air pollution","83","83","pre-smog swabs","post-smog swabs","Vendors in an open-air farer's market who worked in the same place and were exposed to smog over the same business hours","Homo sapiens","mucosa","16S","3","4","Illumina","LEfSe","4","0.001","Yes","","","","unchanged","increased","unchanged","","increased","Study 357","Experiment 1"
"antibiotic therapy within 3 months","South Korea","cervical glandular intraepithelial neoplasia, cervical cancer","50","42","Healthy controls","CIN2/3-CC","patients diagnosed with CIN2/3 or cervical cancer during screening of the cervical tract","Homo sapiens","uterine cervix","16S","","","Roche454","LEfSe","2","0.05","No","","","","unchanged","increased","unchanged","","increased","Study 358","Experiment 1"
"","United States of America","smoking behavior","521","112","former smoker","current smoker","participants who developed head and neck or pancreatic cancer at any point after collection of the oral wash samples","Homo sapiens","mouth","16S","3","4","Roche454","Kruskall-Wallis","","0.001","Yes","age, sex","","","unchanged","","","","","Study 359","Experiment 1"
"","United States of America","air pollution","20","20","mice exposed to Filtered Air","mice exposed to MVE","male ApoE−/- mice exposed to  mixed diesel and gasoline engine emissions (MVE) or Wood Smoke (WS)","Mus musculus","small intestine","16S","4","","Illumina","Kruskall-Wallis","","0.05","Yes","","","","decreased","decreased","","","decreased","Study 360","Experiment 1"
"","United States of America","air pollution","20","20","mice exposed to Filtered Air","mice exposed to WS","male ApoE−/- mice exposed to  mixed diesel and gasoline engine emissions (MVE) or Wood Smoke (WS)","Mus musculus","small intestine","16S","4","","Illumina","Kruskall-Wallis","","0.05","Yes","","","","decreased","decreased","","","decreased","Study 360","Experiment 2"
"","Canada","air pollution","10","10","control","male mice exposed to cigarette smoke","male, female or ovariectomized females mice exposed to smoke","Mus musculus","caecum","16S","4","","Illumina","LEfSe","3.5","0.002","Yes","","","decreased","decreased","","","","decreased","Study 361","Experiment 1"
"","Canada","air pollution","10","10","control","female mice exposed to cigarette smoke","male, female or ovariectomized females mice exposed to smoke","Mus musculus","caecum","16S","4","","Illumina","LEfSe","3.5","0.004","Yes","","","decreased","increased","","","","increased","Study 361","Experiment 2"
"","Canada","air pollution","10","10","control","ovariectomized female mice exposed to cigarette smoke","male, female or ovariectomized females mice exposed to smoke","Mus musculus","caecum","16S","4","","Illumina","LEfSe","3.5","0.003","Yes","","","decreased","decreased","","","","decreased","Study 361","Experiment 3"
"","Canada","air pollution","10","10","control","mice exposed to smoke","male, female or ovariectomized females mice exposed to smoke","Mus musculus","caecum","16S","4","","Illumina","LEfSe","3.5","0.001","Yes","","","decreased","decreased","","","","decreased","Study 361","Experiment 4"
"4 months","Mexico","obesity","56","16","normal weight children","obese","School-aged children","Homo sapiens","feces","16S","","","RT-qPCR","ANOVA","","0.05","Yes","","","","","","","","","Study 362","Experiment 1"
"","Japan","smoking behavior","384","144","never smokers","current smokers","participants who underwent tongue-coating analysis in 2016 and 2017","Homo sapiens","tongue","16S","3","4","Illumina","DESeq2","","0.05","Yes","","age,sex, body mass index, alcohol drinking, number of teeth measurement, dental caries, peridontal microbiome","","decreased","","decreased","","decreased","Study 363","Experiment 1"
"3 months","Turkey","smoking behavior","20","20","non-smoker","smoker","participants that fulfilled the inclusion criteris for good health: no use of antibiotics in the past 3 months, no respiratory infections, no oral aphthous lesions on buccal mucosa, and absence of dental problems","Homo sapiens","buccal mucosa","16S","2","9","Ion Torrent","Mann-Whitney (Wilcoxon)","","0.05","Yes","","","","unchanged","unchanged","","","unchanged","Study 364","Experiment 1"
"","United States of America","diet","6","5","mice fed control rodent diet.","mice exposed to American Diet","C57BL/6J mice fed an American diet (AD), which contained higher amounts of fat and fiber","Mus musculus","feces","16S","1","2","Illumina","Mann-Whitney (Wilcoxon)","2","0.05","Yes","","","","","","","","","Study 365","Experiment 1"
"3 months","Canada","non-alcoholic fatty liver disease","30","30","healthy controls","nonalcoholic fatty liver disease","Obese patients with a body mass index (BMI) greater than 30 kg/m2 and clinically suspected non-alcoholic fatty liver disease","Homo sapiens","feces","16S","","","Mass spectrometry","Metastats","","0.05","No","","","","","","","","","Study 366","Experiment 1"
"3 months","Mexico","obesity","81","80","normal weight","obese","Unrelated children, 9–11 years old","Homo sapiens","feces","16S","3","","Ion Torrent","ANOVA","","0.05","No","","","","","","","","","Study 367","Experiment 1"
"3 months","Mexico","obesity","81","29","normal weight","overweight","Unrelated children, 9–11 years old","Homo sapiens","feces","16S","3","","Ion Torrent","ANOVA","","0.05","No","","","","","","","","","Study 367","Experiment 2"
"3 months","Saudi Arabia","smoking behavior","23","29","non-shammah users","shammah users","participants who used shammah daily for at least one year without a period of cessation and those who had no history of shammah use","Homo sapiens","tongue","16S","1","3","Illumina","LEfSe","","0.015","Yes","sex","","","unchanged","unchanged","unchanged","","unchanged","Study 368","Experiment 1"
"14 days","Cyprus,Estonia,Germany,Hungary,Sweden","obesity","34","36","normal weight","obese","children aged 2-9 years","Homo sapiens","feces","16S","3","4","Illumina","Mann-Whitney (Wilcoxon)","","0.05","No","","","","decreased","","","","unchanged","Study 369","Experiment 1"
"14 days","Cyprus,Estonia,Germany,Hungary,Sweden","obesity","36","36","before onset of obesity","after onset of obesity","children aged 2-9 years","Homo sapiens","feces","16S","3","4","Illumina","Mann-Whitney (Wilcoxon)","","0.05","No","","","","decreased","","","","unchanged","Study 369","Experiment 2"
"","United States of America","air pollution","","101","non-farmworker exposure","farmworker exposure","self-identified Hispanic farmworkers in apple and pear orchads and Hispanic non-farmworker community members","Homo sapiens","buccal mucosa","16S","5","6","Ion Torrent","Mann-Whitney (Wilcoxon)","","0.01","Yes","","","","","unchanged","","","unchanged","Study 370","Experiment 1"
"6 months","France","obesity","15","43","lean","obese","hospitalized patients and outpatients who were overweight, obese or anorexic.","Homo sapiens","feces","WMS","","","RT-qPCR","chi-square","","0.05","Yes","","","","","","","","","Study 371","Experiment 1"
"6 months","France","obesity","55","80","lean","obese","hospitalized patients and outpatients who were overweight, obese or anorexic.","Homo sapiens","feces","WMS","","","RT-qPCR","chi-square","","0.05","Yes","","","","","","","","","Study 371","Experiment 2"
"6 months","France","obesity","32","32","lean","obese","hospitalized patients and outpatients who were overweight, obese or anorexic.","Homo sapiens","feces","WMS","","","RT-qPCR","chi-square","","0.05","Yes","","","","","","","","","Study 371","Experiment 3"
"6 months","France","obesity","5","24","lean","obese","hospitalized patients and outpatients who were overweight, obese or anorexic.","Homo sapiens","feces","WMS","","","RT-qPCR","chi-square","","0.05","Yes","","","","","","","","","Study 371","Experiment 4"
"","China","air pollution","30","37","mice exposed to FRA","Diesel exhaust particle (DEP) exposed mice","mice exposed to Diesel exhaust particles (DEP)","Mus musculus","colon","16S","3","4","Illumina","LEfSe","4","0.05","Yes","","","","","","","","","Study 372","Experiment 1"
"","Estonia","obesity","9","9","normal weight children","overweight","Children and adults","Homo sapiens","feces","16S","3","4","Illumina","t-test","","0.05","No","","","","","","","","","Study 373","Experiment 1"
"","Estonia","obesity","9","7","normal weight adult","overweight","Children and adults","Homo sapiens","feces","16S","3","4","Illumina","t-test","","0.05","No","","","","","","","","","Study 373","Experiment 2"
"","South Korea","cervical glandular intraepithelial neoplasia, cervical cancer","18","17","normal control","cervical cancer","histology proven CIN2/3","Homo sapiens","uterine cervix","WMS","","","Illumina","LEfSe","2.5","0.05","Yes","","","","unchanged","","unchanged","","","Study 374","Experiment 1"
"","South Korea","cervical glandular intraepithelial neoplasia, cervical cancer","18","12","normal control","cervical cancer","histology proven cervical cancer","Homo sapiens","uterine cervix","WMS","","","Illumina","LEfSe","2.5","0.05","Yes","","","","unchanged","","unchanged","","","Study 374","Experiment 2"
"4 weeks","Mexico","obesity","32","32","normal weight","obese","both sexes aged between 18 to 25 years","Homo sapiens","feces","WMS","","","RT-qPCR","Mann-Whitney (Wilcoxon)","","0.05","No","","","","","","","","","Study 375","Experiment 1"
"","Spain","antimicrobial agent","7","7","before antibiotic exposure","patients that took amoxiclav","took amoxiclav for 7 days","Homo sapiens","feces","16S","4","","RT-qPCR","Mann-Whitney (Wilcoxon)","","0.05","Yes","","","","","decreased","","","decreased","Study 376","Experiment 1"
"","Spain","antimicrobial agent","9","9","before antibiotic exposure","patients that took levofloxacin/Metronidazole","took levofloxacin/Metronidazole for 7 days","Homo sapiens","feces","16S","4","","RT-qPCR","Mann-Whitney (Wilcoxon)","","0.05","Yes","","","","","decreased","","","decreased","Study 376","Experiment 2"
"","Spain","antimicrobial agent","1","1","before antibiotic exposure","patients that took Piperacilin/Tazobactam","took Piperacilin/Tazobactam for 7 days","Homo sapiens","feces","16S","4","","RT-qPCR","Mann-Whitney (Wilcoxon)","","0.05","Yes","","","","","decreased","","","decreased","Study 376","Experiment 3"
"","Spain","antimicrobial agent","3","3","before antibiotic exposure","patients that took Ceftriaxone/Azithromycin","took Ceftriaxone/Azithromycin for 7 days","Homo sapiens","feces","16S","4","","RT-qPCR","Mann-Whitney (Wilcoxon)","","0.05","Yes","","","","","decreased","","","decreased","Study 376","Experiment 4"
"","Spain","antimicrobial agent","1","1","before antibiotic exposure","patients that took Ciprofloxacin","took Ciprofloxacin for 7 days","Homo sapiens","feces","16S","4","","RT-qPCR","Mann-Whitney (Wilcoxon)","","0.05","Yes","","","","","decreased","","","decreased","Study 376","Experiment 5"
"1 month","United States of America","smoking behavior","39","40","E-cigarette smoker","never smoker","participants who were 21 years or older, healthy, diagnosed with periodontal disease, and current smokers, non-smokers, or e-cigarette users","Homo sapiens","mouth","16S","3","4","Illumina","LEfSe","2","0.05","No","","","","unchanged","","","","increased","Study 377","Experiment 1"
"1 month","United States of America","smoking behavior","39","40","cigarette smoker","never smoker","participants who were 21 years or older, healthy, diagnosed with periodontal disease, and current smokers, non-smokers, or e-cigarette users","Homo sapiens","mouth","16S","3","4","Illumina","LEfSe","2","0.05","No","","","","unchanged","","","","increased","Study 377","Experiment 2"
"1 month","United States of America","smoking behavior","40","40","cigarette smoker","E-cigarette smoker","participants who were 21 years or older, healthy, diagnosed with periodontal disease, and current smokers, non-smokers, or e-cigarette users","Homo sapiens","mouth","16S","3","4","Illumina","LEfSe","2","0.05","No","","","","unchanged","","","","increased","Study 377","Experiment 3"
"","France","graft versus host disease","35","35","non acute graft-versus-host-disease","Severe acute graft-versus-host-disease","patients who are diagnosis with mild gut acute graft- versus-host disease (less than or equal 2) or severe gut acute graft- versus-host disease (between standard stage greater or equal to 2 and less than or equal to 4)","Homo sapiens","feces","16S","3","4","Illumina","LEfSe","4","0.01","Yes","","","","","decreased","decreased","","decreased","Study 378","Experiment 1"
"","France","graft versus host disease","35","15","non acute graft-versus-host-disease","Severe acute graft-versus-host-disease","patients who are diagnosis with severe gut acute graft- versus-host disease (between standard stage greater or equal to 2 and less than or equal to 3)","Homo sapiens","feces","16S","3","4","Illumina","Mann-Whitney (Wilcoxon)","4","0.01","Yes","","","","","decreased","decreased","","decreased","Study 378","Experiment 2"
"1 year","United States of America","obesity","647","969","obese","non-obese","participants who were selected for four nested case-control studies to investigate the oral microbiome and those diagnosed after mouth rinse sample colection with type 2 diabetes, lung cancer, upper aero-digestive tract cancer, and colorectal cancer","Homo sapiens","mouth","16S","4","","Illumina","Logistic Regression","","0.05","Yes","age, sex, race, smoking behavior","age, sex, race, smoking behavior, alcohol comsumption, total energy intake, oral health, disease status during the follow up, and study batch","","unchanged","","unchanged","","unchanged","Study 379","Experiment 1"
"1 year","United States of America","obesity","969","647","non-obese","obese","participants who were selected for four nested case-control studies to investigate the oral microbiome and those diagnosed after mouth rinse sample colection with type 2 diabetes, lung cancer, upper aero-digestive tract cancer, and colorectal cancer","Homo sapiens","mouth","16S","4","","Illumina","Logistic Regression","","0.05","Yes","age, sex, race, smoking behavior","age, sex, race, smoking behavior, alcohol comsumption, total energy intake, oral health, disease status during the follow up, and study batch","","unchanged","","unchanged","","unchanged","Study 379","Experiment 2"
"48 hours","United States of America","response to allogeneic hematopoietic stem cell transplant","5","13","patients post allogenic hematopoietic cell transplant/pre Fecal Microbiota Transplant","patients preallogenic hematopoietic cell transplant","patients who received Fecal Microbiome Transplant","Homo sapiens","feces","16S","4","5","Illumina","Mann-Whitney (Wilcoxon)","","0.05","No","age","age, HLA match, transplant conditioning, history of GI infection, acute graft vs. host disease","","","","","increased","","Study 380","Experiment 1"
"48 hours","United States of America","response to allogeneic hematopoietic stem cell transplant","5","13","post fecal mircobiota day 180","post allogenic hematopoietic cell transplant/ pre Fecal microbiota transplant","patients who received Fecal Microbiome Transplant","Homo sapiens","feces","16S","4","5","Illumina","Mann-Whitney (Wilcoxon)","","0.05","No","age","age, HLA match, transplant conditioning, history of GI infection, acute graft vs. host disease","","","","","unchanged","","Study 380","Experiment 2"
"48 hours","United States of America","response to allogeneic hematopoietic stem cell transplant","5","13","post fecal mircobiota day 7","post allogenic hematopoietic cell transplant/ pre Fecal microbiota transplant","patients who received Fecal Microbiome Transplant","Homo sapiens","feces","16S","4","5","Illumina","Mann-Whitney (Wilcoxon)","","0.05","No","age","age, HLA match, transplant conditioning, history of GI infection, acute graft vs. host disease","","","","","decreased","","Study 380","Experiment 3"
"48 hours","United States of America","response to allogeneic hematopoietic stem cell transplant","5","13","post fecal mircobiota day 30","post allogenic hematopoietic cell transplant/ pre Fecal microbiota transplant","patients who received Fecal Microbiome Transplant","Homo sapiens","feces","16S","4","5","Illumina","Mann-Whitney (Wilcoxon)","","0.05","No","age","age, HLA match, transplant conditioning, hx of GI infection, acute graft vs. host disease","","","","","decreased","","Study 380","Experiment 4"
"","United States of America","response to allogeneic hematopoietic stem cell transplant","18","50","healthy volunteers","hematopoietic stem cell transplant recipients","patients undergoing T cell repleted allogeneic hematopoietic stem cell transplantation","Homo sapiens","feces","16S","4","","Illumina","Mann-Whitney (Wilcoxon)","","0.05","Yes","","","","decreased","","","","decreased","Study 381","Experiment 1"
"","United States of America","response to allogeneic hematopoietic stem cell transplant","50","50","low fecal butyrate levels","high fecal butyrate levels","patients undergoing T cell repleted allogeneic hematopoietic stem cell transplantation","Homo sapiens","feces","16S","4","","Illumina","LEfSe","4","0.05","No","","","","","","","","","Study 381","Experiment 2"
"Current","Italy","chlamydia trachomatis infectious disease","7","7","healthy control","patient with chlamydia infection","patient with Chlamydia infection","Homo sapiens","endocervix","16S","3","4","Illumina","LEfSe","2","0.05","Yes","","","","increased","","","","","Study 382","Experiment 1"
"Current","Italy","human papilloma virus infection, chlamydia infection","7","8","HPV positive women","patient with chlamydia infection","patient with Chlamydia infection","Homo sapiens","endocervix","16S","3","4","Illumina","LEfSe","2","0.05","Yes","","","","increased","","","","","Study 382","Experiment 2"
"1 week","United States of America","food allergy","131","85","no food sensitization","child with food sensitization","child with serum-specific IgE to milk, egg, peanut, soy, wheat, and walnut greater than 0.35 kU/L at age 3","Homo sapiens","feces","16S","3","5","Roche454","negative binomial regression","","0.05","Yes","","","","unchanged","unchanged","","","unchanged","Study 383","Experiment 1"
"1 week","United States of America","food allergy","202","14","no food allergy","child with food allergy","child with healthcare provider-diagnosed allergy to milk, egg, peanut, wheat, soy, or other nut allergy prior to age 3 years with evidence of IgE sensitization to that food (>0.1 kU/L) at age 3 years","Homo sapiens","feces","16S","3","5","Roche454","negative binomial regression","","0.05","Yes","","","","unchanged","unchanged","","","unchanged","Study 383","Experiment 2"
"1 month","China","schizophrenia","69","40","healthy controls","FSCZ","first-episode drug naive schizophrenia(FSCZ) diagnosed according to the DSM IV criteria and PANSS having illness duration <=12 months and no treatment with antipsycotic medications before, anti-psycotic treated schizophrenia (TSCZ) having illness duration >12 months and received antipsychotic treatment for at least past 3 months","Homo sapiens","feces","16S","4","","Illumina","DESeq2","","0.05","Yes","demographics","","","unchanged","unchanged","","","unchanged","Study 384","Experiment 1"
"1 month","China","schizophrenia","69","85","healthy controls","TSCZ","first-episode drug naive schizophrenia(FSCZ) diagnosed according to the DSM IV criteria and PANSS having illness duration <=12 months and no treatment with antipsycotic medications before, anti-psycotic treated schizophrenia (TSCZ) having illness duration >12 months and received antipsychotic treatment for at least past 3 months","Homo sapiens","feces","16S","4","","Illumina","DESeq2","","0.05","Yes","demographics","","","decreased","decreased","","","decreased","Study 384","Experiment 2"
"1 month","China","schizophrenia","40","85","FSCZ","TSCZ","first-episode drug naive schizophrenia(FSCZ) diagnosed according to the DSM IV criteria and PANSS having illness duration <=12 months and no treatment with antipsycotic medications before, anti-psycotic treated schizophrenia (TSCZ) having illness duration >12 months and received antipsychotic treatment for at least past 3 months","Homo sapiens","feces","16S","4","","Illumina","DESeq2","","0.05","Yes","demographics","","","decreased","decreased","","","decreased","Study 384","Experiment 3"
"6 months","China","gastric adenocarcinoma","5","6","superficial gastritis (SG)","gastric adenocarcinoma (GC)","SG patients with mild to moderate epigastric discomfort. The disgnosis of malignancy was based on patological analysis of tissue biopsies","Homo sapiens","stomach","WMS","","","Illumina","LEfSe","2","0.05","Yes","age, sex, body mass index","","","unchanged","","","","decreased","Study 385","Experiment 1"
"","China","pulmonary tuberculosis","31","30","healthy controls","Tuberculosis (TB) patients","patients diagnosed with TB by assessing symptoms, including the results of acid-fast bacilli (AFB) smear microscopy, culture, the T-SPOT.TB test and a chest radiograph.","Homo sapiens","feces","WMS","","","Illumina","Mann-Whitney (Wilcoxon)","","0.05","Yes","","","","decreased","","","","decreased","Study 386","Experiment 1"
"3 months","Sweden","antimicrobial agent","10","10","after antibiotic exposure","Before ciprofloxacin exposure","""healthy"" adults between the ages of 18-45 years old with normal medical histories and physical examinations","Homo sapiens","feces","16S","5","7","Roche454","Mann-Whitney (Wilcoxon)","","","Yes","","","","","","","","decreased","Study 387","Experiment 1"
"3 months","Sweden","antimicrobial agent","10","10","after antibiotic exposure","Before clindamycin exposure","""healthy"" adults between the ages of 18-45 years old with normal medical histories and physical examinations","Homo sapiens","feces","16S","5","7","Roche454","Mann-Whitney (Wilcoxon)","","","Yes","","","","","","","","decreased","Study 387","Experiment 2"
"2 weeks","China","oral squamous cell carcinoma","24","24","paracancerous tissues","cancerous  lesions","patients at different stages of OSCC were enrolled in the study","Homo sapiens","mouth, skin of cheek, tongue, gingiva, oropharynx","16S","3","4","Illumina","LEfSe","3","0.05","Yes","","","","unchanged","unchanged","","","","Study 388","Experiment 1"
"","United States of America","schizophrenia","85","121","healthy controls","schizophrenia","patients met DSM-IV criteria for schizophrenia, mania participants with symptoms of mania or hypermania could have diagnosis of Bipolar I disorder, single manic episode, most recent episode, mixed Bipolar II episode, most recent episode mixed,or Schizoaffective disorder., bipolar type (manic, hypomanic or mixed state)","Homo sapiens","feces","16S","3","4","Illumina","Wald test","","0.05","Yes","","age, sex, race, nicotine dependence, body mass index","","","","","","","Study 389","Experiment 1"
"","United States of America","schizophrenia","85","62","healthy controls","schizophrenia","patients met DSM-IV criteria for schizophrenia, mania participants with symptoms of mania or hypermania could have diagnosis of Bipolar I disorder, single manic episode, most recent episode, mixed Bipolar II episode, most recent episode mixed,or Schizoaffective disorder., bipolar type (manic, hypomanic or mixed state)","Homo sapiens","feces","16S","3","4","Illumina","Wald test","","0.05","Yes","","age, sex, race, nicotine dependence, body mass index","","","","","","","Study 389","Experiment 2"
"2 weeks","China","schizophrenia","29","29","healthy controls","acute schizphrenia","patients who complied with diagnostic criteria for SCZ in the Diagnostic and Statistical Manual of Mental DIsorders Fourth Edition, Positive and negative syndrome scale, PANSS<60; No change in antipsychotic regimen (within two weeks)","Homo sapiens","feces","16S","3","4","Illumina","LEfSe","2","0.05","No","age, sex and body mass index","","","unchanged","unchanged","unchanged","","","Study 390","Experiment 1"
"2 weeks","China","schizophrenia","29","29","healthy controls","scizophrenia during remission","patients who complied with diagnostic criteria for SCZ in the Diagnostic and Statistical Manual of Mental DIsorders Fourth Edition, Positive and negative syndrome scale, PANSS<60; No change in antipsychotic regimen (within two weeks)","Homo sapiens","feces","16S","3","4","Illumina","LEfSe","2","0.05","No","age, sex and body mass index","","","unchanged","unchanged","unchanged","","","Study 390","Experiment 2"
"4 weeks","China","schizophrenia","29","29","symptomatic remission","acute schizphrenia","patients who complied with diagnostic criteria for SCZ in the Diagnostic and Statistical Manual of Mental DIsorders Fourth Edition, Positive and negative syndrome scale, PANSS<60; No change in antipsychotic regimen (within two weeks)","Homo sapiens","feces","16S","3","4","Illumina","LEfSe","2","0.05","No","age, sex and body mass index","","","unchanged","unchanged","unchanged","","","Study 390","Experiment 3"
"currently taking antibiotics","China","neuromyelitis optica","20","20","healthy controls","neuromyelitis optica spectrum disorder","Each patient met the 2015 international diagnostic criteria for NMOSD and tested positive for serum AQP4-IgG using cell-based assays","Homo sapiens","feces","16S","3","4","Illumina","LEfSe","3","0.05","Yes","","","","unchanged","unchanged","unchanged","","unchanged","Study 391","Experiment 1"
"4 weeks","Italy","milk allergic reaction","23","23","healthy controls","non-IgE mediated cow's milk allergy","diagnosis of non-IgE mediated cow's milk allergy based on clinical history, negative result of skin prick test, and/or negative level of IgE serum-specific anti-cow's milk proteins","Homo sapiens","feces","16S","3","4","Illumina","Mann-Whitney (Wilcoxon)","","0.05","Yes","","","","unchanged","unchanged","","","unchanged","Study 392","Experiment 1"
"4 weeks","Italy","milk allergic reaction","23","9","infant with non-IgE-mediated cow's milk allergy at diagnosis","infant with non-IgE-mediated cow's milk allergy treated with EHCF","infant with non-IgE mediated cow's milk allergy treated with EHCF","Homo sapiens","feces","16S","3","4","Illumina","Mann-Whitney (Wilcoxon)","","0.05","Yes","","","","unchanged","unchanged","","","unchanged","Study 392","Experiment 2"
"4 weeks","Italy","milk allergic reaction","23","14","infant with non-IgE-mediated cow's milk allergy at diagnosis","infant with non-IgE-mediated cow's milk allergy treated with EHCF+LGG","infant with non-IgE mediated cow's milk allergy treated with EHCF+LGG","Homo sapiens","feces","16S","3","4","Illumina","Mann-Whitney (Wilcoxon)","","0.05","Yes","","","","unchanged","unchanged","","","unchanged","Study 392","Experiment 3"
"4 weeks","Italy","milk allergic reaction","9","14","infant with non-IgE-mediated cow's milk allergy treated with EHCF","infant with non-IgE-mediated cow's milk allergy treated with EHCF+LGG","infant with non-IgE mediated cow's milk allergy treated with EHCF+LGG","Homo sapiens","feces","16S","3","4","Illumina","Mann-Whitney (Wilcoxon)","","0.05","Yes","","","","unchanged","unchanged","","","unchanged","Study 392","Experiment 4"
"4 weeks","Spain","milk allergic reaction","3","14","infant with non-IgE-mediated cow's milk allergy non-tolerant to cow's milk protein","infant with non-IgE-mediated cow's milk allergy tolerant to cow's milk protein","infant with non-IgE mediated cow's milk allergy tolerant to cow's milk after a period of six months dairy-free diet","Homo sapiens","feces","16S","3","4","Illumina","Metastats","","0.05","Yes","age","","","","","","","","Study 393","Experiment 1"
"4 weeks","Spain","milk allergic reaction","10","17","healthy control","infant with non-IgE-mediated cow's milk allergy","infant with cow's milk protein allergy confirmed by a negative skin prick test, values lower than 0.35 kU/L cow’s milk-specific IgE determined in their blood, and a clear positive standardized oral challenge (SOC), performed under medical supervision","Homo sapiens","feces","16S","3","4","Illumina","Metastats","","0.05","Yes","age","","","","","","","","Study 393","Experiment 2"
"","Denmark","asthma","438","135","healthy control","child with asthma at age 6","asthma at age 6 years diagnosed using a pre-defined validated quantitative symptom algorithm based on parental registration of troublesome lung symptoms on structured daily diary cards from birth, verified by study pediatricians at each clinic visit","Homo sapiens","hypopharynx","16S","4","","Illumina","cox proportional hazards regression","","0.05","Yes","","","","increased","","","","increased","Study 394","Experiment 1"
"1 month","United States of America","end stage renal disease","13","8","healthy controls","peritoneal dialysis","4 groups of pediatric patients (age 2-18), hemodialysis, peritoneal dialysis, kidney transplant, healthy controls","Homo sapiens","feces","16S","3","4","Illumina","Kruskall-Wallis","","0.05","Yes","age","","","","decreased","","","decreased","Study 395","Experiment 1"
"1 month","United States of America","end stage renal disease","13","8","healthy controls","hemodialysis","4 groups of pediatric patients (age 2-18), hemodialysis, peritoneal dialysis, kidney transplant, healthy controls","Homo sapiens","feces","16S","3","4","Illumina","Kruskall-Wallis","","0.05","Yes","age","","","","unchanged","","","unchanged","Study 395","Experiment 2"
"1 month","United States of America","end stage renal disease","8","8","peritoneal dialysis","hemodialysis","4 groups of pediatric patients (age 2-18), hemodialysis, peritoneal dialysis, kidney transplant, healthy controls","Homo sapiens","feces","16S","3","4","Illumina","Kruskall-Wallis","","0.05","Yes","age","","","","increased","","","increased","Study 395","Experiment 3"
"2 weeks","United States of America","atopic eczema","11","21","healthy control","atopic dermatitis","child between the age of 3 months-5 years with moderate to severe atopic dermatitis defined as an investigator’s global assessment (IGA) score of 3 or 4 (0–4 scale)","Homo sapiens","skin of body","16S","4","","Illumina","Kruskall-Wallis","","0.05","Yes","","","","","","","","","Study 396","Experiment 1"
"2 weeks","United States of America","atopic eczema","9","9","baseline","atopic dermatitis after treatment with TCS + Bleach","child with moderate to severe atopic dermatitis after treatment with TCS + bleach","Homo sapiens","skin of body","16S","4","","Illumina","Kruskall-Wallis","","0.05","Yes","","","","","","","","","Study 396","Experiment 2"
"2 weeks","United States of America","atopic eczema","9","9","baseline","atopic dermatitis after treatment with TCS","child with moderate to severe atopic dermatitis after treatment with TCS","Homo sapiens","skin of body","16S","4","","Illumina","Kruskall-Wallis","","0.05","Yes","","","","","","","","","Study 396","Experiment 3"
"1 month","China","atopic eczema","20","20","healthy control","severe atopic dermatitis","child with severe atopic dermatitis based on eczema area and severity index (EASI) local rating method","Homo sapiens","skin of body","16S","1","2","Illumina","Mann-Whitney (Wilcoxon)","","0.05","No","","","","","decreased","increased","","decreased","Study 397","Experiment 1"
"","Ireland","atopic eczema","10","10","healthy control","atopic dermatitis","child with atopic dermatis at month 12 diagnosed by experienced health care personnel using the UK Working Party Diagnostic Criteria","Homo sapiens","skin of forearm","16S","1","3","Roche454","Mann-Whitney (Wilcoxon)","","0.05","Yes","","","","unchanged","","","","","Study 398","Experiment 1"
"6 weeks","United States of America","age","33","32","healthy aging (HA)","non-healthy aging (NHA)","participants aged 70–82 who had a medical history linked to one or more of the following major disease categories: cancer, acute or chronic cardiovascular disease, acute or chronic pulmonary disease, chronic liver disease, diabetes and diabetic complications, and stroke or neurodegenerative disorder.","Homo sapiens","saliva","16S","1","3","Illumina","DESeq2","","0.05","Yes","","","","decreased","decreased","","","","Study 399","Experiment 1"
"6 weeks","United States of America","age","33","32","healthy aging (HA)","non-healthy aging (NHA)","participants aged 70–82 who had a medical history linked to one or more of the following major disease categories: cancer, acute or chronic cardiovascular disease, acute or chronic pulmonary disease, chronic liver disease, diabetes and diabetic complications, and stroke or neurodegenerative disorder.","Homo sapiens","feces","16S","1","3","Illumina","DESeq2","","0.05","Yes","","","","unchanged","unchanged","","","","Study 399","Experiment 2"
"4 weeks","China","asthma","24","34","healthy control","asthma","child age 4-7 years with physician diagnosed asthma","Homo sapiens","feces","16S","3","4","Illumina","Kruskall-Wallis","","0.05","No","","","","","","","","","Study 400","Experiment 1"
"4 weeks","China","allergic rhinitis","24","27","healthy control","allergic rhinitis","child age 4-7 years with physician diagnosed allergic rhinitis","Homo sapiens","feces","16S","3","4","Illumina","Kruskall-Wallis","","0.05","No","","","","","","","","","Study 400","Experiment 2"
"4 weeks","China","asthma","32","32","healthy control","asthma","child age 3-5 diagnosed as ever having asthma with the occurrence of recurrent wheeze in the last 12 months, or current use of asthma medication","Homo sapiens","throat","16S","3","4","Illumina","Mann-Whitney (Wilcoxon)","","0.05","Yes","","","","unchanged","unchanged","","","unchanged","Study 401","Experiment 1"
